 gameweek | locked_rank |   locked_tier    | overall_points_at_lock 
        3 |     4657828 | 4500001-5000000  |                    136
        3 |     4657828 | 4500001-5000000  |                    136
        3 |     4727730 | 4500001-5000000  |                    136
        3 |     4730255 | 4500001-5000000  |                    135
        3 |     4768687 | 4500001-5000000  |                    135
        3 |     4768687 | 4500001-5000000  |                    135
        3 |     4768687 | 4500001-5000000  |                    135
        3 |     4795255 | 4500001-5000000  |                    135
        3 |     4844365 | 4500001-5000000  |                    135
        3 |     4844365 | 4500001-5000000  |                    135
        3 |     4867948 | 4500001-5000000  |                    134
        3 |     4867948 | 4500001-5000000  |                    134
        3 |     4867948 | 4500001-5000000  |                    134
        3 |     4905919 | 4500001-5000000  |                    134
        3 |     4905919 | 4500001-5000000  |                    134
        3 |     4931949 | 4500001-5000000  |                    134
        3 |     4931949 | 4500001-5000000  |                    134
        3 |     4931949 | 4500001-5000000  |                    134
        3 |     4931949 | 4500001-5000000  |                    134
        3 |     4980212 | 4500001-5000000  |                    134
        3 |     5004356 | 5000001-5500000  |                    133
        3 |     5004356 | 5000001-5500000  |                    133
        3 |     5042594 | 5000001-5500000  |                    133
        3 |     5068737 | 5000001-5500000  |                    133
        3 |     5140063 | 5000001-5500000  |                    132
        3 |     5140063 | 5000001-5500000  |                    132
        3 |     5140063 | 5000001-5500000  |                    132
        3 |     5140063 | 5000001-5500000  |                    132
        3 |     5140063 | 5000001-5500000  |                    132
        3 |     5178760 | 5000001-5500000  |                    132
        3 |     5204121 | 5000001-5500000  |                    132
        3 |     5204121 | 5000001-5500000  |                    132
        3 |     5204121 | 5000001-5500000  |                    132
        3 |     5204121 | 5000001-5500000  |                    132
        3 |     5204121 | 5000001-5500000  |                    132
        3 |     5274753 | 5000001-5500000  |                    131
        3 |     5274753 | 5000001-5500000  |                    131
        3 |     5274753 | 5000001-5500000  |                    131
        3 |     5274753 | 5000001-5500000  |                    131
        3 |     5274753 | 5000001-5500000  |                    131
        3 |     5312679 | 5000001-5500000  |                    131
        3 |     5312679 | 5000001-5500000  |                    131
        3 |     5337650 | 5000001-5500000  |                    131
        3 |     5337650 | 5000001-5500000  |                    131
        3 |     5337650 | 5000001-5500000  |                    131
        3 |     5337650 | 5000001-5500000  |                    131
        3 |     5382872 | 5000001-5500000  |                    131
        3 |     5401755 | 5000001-5500000  |                    131
        3 |     5445294 | 5000001-5500000  |                    130
        3 |     5513820 | 5500001-6000000  |                    130
        3 |     5526938 | 5500001-6000000  |                    130
        3 |     5539095 | 5500001-6000000  |                    130
        3 |     5539145 | 5500001-6000000  |                    129
        3 |     5539145 | 5500001-6000000  |                    129
        3 |     5576442 | 5500001-6000000  |                    129
        3 |     5600054 | 5500001-6000000  |                    129
        3 |     5600054 | 5500001-6000000  |                    129
        3 |     5600054 | 5500001-6000000  |                    129
        3 |     5643231 | 5500001-6000000  |                    129
        3 |     5643231 | 5500001-6000000  |                    129
        3 |     5656128 | 5500001-6000000  |                    129
        3 |     5668596 | 5500001-6000000  |                    128
        3 |     5668596 | 5500001-6000000  |                    128
        3 |     5668596 | 5500001-6000000  |                    128
        3 |     5705135 | 5500001-6000000  |                    128
        3 |     5705135 | 5500001-6000000  |                    128
        3 |     5705135 | 5500001-6000000  |                    128
        3 |     5705135 | 5500001-6000000  |                    128
        3 |     5728420 | 5500001-6000000  |                    128
        3 |     5728420 | 5500001-6000000  |                    128
        3 |     5728420 | 5500001-6000000  |                    128
        3 |     5770115 | 5500001-6000000  |                    128
        3 |     5788765 | 5500001-6000000  |                    128
        3 |     5795835 | 5500001-6000000  |                    127
        3 |     5795835 | 5500001-6000000  |                    127
        3 |     5855408 | 5500001-6000000  |                    127
        3 |     5921549 | 5500001-6000000  |                    126
        3 |     5921549 | 5500001-6000000  |                    126
        3 |     5957256 | 5500001-6000000  |                    126
        3 |     5979540 | 5500001-6000000  |                    126
        3 |     5979540 | 5500001-6000000  |                    126
        3 |     5979540 | 5500001-6000000  |                    126
        3 |     5979540 | 5500001-6000000  |                    126
        3 |     5979540 | 5500001-6000000  |                    126
        3 |     6040203 | 6000001-6500000  |                    126
        3 |     6044612 | 6000001-6500000  |                    125
        3 |     6044612 | 6000001-6500000  |                    125
        3 |     6044612 | 6000001-6500000  |                    125
        3 |     6080375 | 6000001-6500000  |                    125
        3 |     6101788 | 6000001-6500000  |                    125
        3 |     6101788 | 6000001-6500000  |                    125
        3 |     6101788 | 6000001-6500000  |                    125
        3 |     6165698 | 6000001-6500000  |                    124
        3 |     6165698 | 6000001-6500000  |                    124
        3 |     6165698 | 6000001-6500000  |                    124
        3 |     6284806 | 6000001-6500000  |                    123
        3 |     6319894 | 6000001-6500000  |                    123
        3 |     6340266 | 6000001-6500000  |                    123
        3 |     6340266 | 6000001-6500000  |                    123
        3 |     6340266 | 6000001-6500000  |                    123
        3 |     6340266 | 6000001-6500000  |                    123
        3 |     6387649 | 6000001-6500000  |                    123
        3 |     6401883 | 6000001-6500000  |                    122
        3 |     6401883 | 6000001-6500000  |                    122
        3 |     6401883 | 6000001-6500000  |                    122
        3 |     6401883 | 6000001-6500000  |                    122
        3 |     6436448 | 6000001-6500000  |                    122
        3 |     6436448 | 6000001-6500000  |                    122
        3 |     6456155 | 6000001-6500000  |                    122
        3 |     6456155 | 6000001-6500000  |                    122
        3 |     6456155 | 6000001-6500000  |                    122
        3 |     6456155 | 6000001-6500000  |                    122
        3 |     6490311 | 6000001-6500000  |                    122
        3 |     6516373 | 6500001-7000000  |                    121
        3 |     6516373 | 6500001-7000000  |                    121
        3 |     6549983 | 6500001-7000000  |                    121
        3 |     6568852 | 6500001-7000000  |                    121
        3 |     6568852 | 6500001-7000000  |                    121
        3 |     6568852 | 6500001-7000000  |                    121
        3 |     6601521 | 6500001-7000000  |                    121
        3 |     6612646 | 6500001-7000000  |                    121
        3 |     6624001 | 6500001-7000000  |                    121
        3 |     6661142 | 6500001-7000000  |                    120
        3 |     6661142 | 6500001-7000000  |                    120
        3 |     6679541 | 6500001-7000000  |                    120
        3 |     6728044 | 6500001-7000000  |                    120
        3 |     6736803 | 6500001-7000000  |                    119
        3 |     6736803 | 6500001-7000000  |                    119
        3 |     6769877 | 6500001-7000000  |                    119
        3 |     6769877 | 6500001-7000000  |                    119
        3 |     6787755 | 6500001-7000000  |                    119
        3 |     6787755 | 6500001-7000000  |                    119
        3 |     6818216 | 6500001-7000000  |                    119
        3 |     6843686 | 6500001-7000000  |                    118
        3 |     6875965 | 6500001-7000000  |                    118
        3 |     6875965 | 6500001-7000000  |                    118
        3 |     6893026 | 6500001-7000000  |                    118
        3 |     6893026 | 6500001-7000000  |                    118
        3 |     6938110 | 6500001-7000000  |                    118
        3 |     6947317 | 6500001-7000000  |                    117
        3 |     6995575 | 6500001-7000000  |                    117
        3 |     6995575 | 6500001-7000000  |                    117
        3 |     7023100 | 7000001-7500000  |                    117
        3 |     7033270 | 7000001-7500000  |                    117
        3 |     7046653 | 7000001-7500000  |                    117
        3 |     7048344 | 7000001-7500000  |                    116
        3 |     7121353 | 7000001-7500000  |                    116
        3 |     7146055 | 7000001-7500000  |                    115
        3 |     7146055 | 7000001-7500000  |                    115
        3 |     7146055 | 7000001-7500000  |                    115
        3 |     7192028 | 7000001-7500000  |                    115
        3 |     7226130 | 7000001-7500000  |                    115
        3 |     7239290 | 7000001-7500000  |                    115
        3 |     7241228 | 7000001-7500000  |                    114
        3 |     7241228 | 7000001-7500000  |                    114
        3 |     7241228 | 7000001-7500000  |                    114
        3 |     7323713 | 7000001-7500000  |                    114
        3 |     7333366 | 7000001-7500000  |                    114
        3 |     7333589 | 7000001-7500000  |                    113
        3 |     7333589 | 7000001-7500000  |                    113
